Commit_ID,Commit_Developer,,Commit_Date,Day
d0a7684,Morad Taleeb,datasets: tabs navigation,2019-02-18 18:20:28 +0200,
49fb99d,Morad Taleeb,fixed conflict,2019-02-18 17:33:02 +0200,
66de1f7,Morad Taleeb,datasets: form type options styling,2019-02-18 17:31:55 +0200,
4e4e625,Abdullrahman ElHayek,HighChart fix,2019-02-18 17:10:09 +0200,
2e37d41,Abdullrahman ElHayek,Serivce to check if file has a dataset,2019-02-18 16:57:23 +0200,
aa3ef3f,Morad Taleeb,fixed dataset wizard styling,2019-02-18 16:19:09 +0200,
3b428a5,Morad Taleeb,dataset wizard: styling part 2 - chartjs options,2019-02-17 20:50:45 +0200,
89daeb2,Morad Taleeb,dataset wizard: fixed tags styling,2019-02-17 20:19:28 +0200,
09fa5b1,Morad Taleeb,dataset form/wizard styling - part 1,2019-02-17 19:25:26 +0200,
f88d596,Morad Taleeb,added logo and fixed sidebar colors,2019-02-16 23:54:22 +0200,
7ef8503,Morad Taleeb,added preview/thumbnail image to datasets,2019-02-16 23:35:09 +0200,
7720eb9,Morad Taleeb,using select2 for dataset form,2019-02-16 22:43:39 +0200,
081b297,Morad Taleeb,Using Select2 for file topics,2019-02-16 22:04:45 +0200,
3d6c0a3,Morad Taleeb,fixed translation files,2019-02-16 15:16:49 +0200,
ec76ef6,Abdullrahman ElHayek,Serivce to check if file has a dataset,2019-02-16 13:11:01 +0200,
9725794,Abdullrahman ElHayek,adding coding ability match with the system - frontend,2019-02-16 12:16:11 +0200,
2eca1bd,Abdullrahman ElHayek,adding coding ability match with the system - backend,2019-02-16 12:03:26 +0200,
d691184,Morad Taleeb,dataset show/edit style fixes,2019-02-15 22:58:45 +0200,
6178fa6,Morad Taleeb,showing admin side menus depending on user role,2019-02-15 21:58:21 +0200,
aca0dc4,Morad Taleeb,files edit with dashboard layout,2019-02-15 21:33:24 +0200,
1caaa61,Morad Taleeb,search style,2019-02-15 21:23:05 +0200,
5a00956,Morad Taleeb,showing real name of photo of current logged in user,2019-02-15 18:58:08 +0200,
8a30353,Morad Taleeb,added select2,2019-02-15 18:45:16 +0200,
286ed31,Morad Taleeb,Fixed sorting datasets,2019-02-15 18:13:00 +0200,
ca63dec,Morad Taleeb,header links,2019-02-15 17:51:17 +0200,
83294f2,Morad Taleeb,Fixed dashboard main route,2019-02-13 22:56:42 +0200,
789cd2c,Morad Taleeb,other pages/forms with new admin layout,2019-02-13 22:21:11 +0200,
001f279,Morad Taleeb,your settings new admin layout,2019-02-13 22:08:47 +0200,
982ad90,Morad Taleeb,settings main layout,2019-02-13 20:20:39 +0200,
1772217,Morad Taleeb,Users layouts and styles,2019-02-13 20:12:40 +0200,
d6c5480,Morad Taleeb,added colors to auth pages,2019-02-13 19:49:04 +0200,
c20eb6c,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-02-13 19:19:38 +0200,
ea5edb5,Morad Taleeb,Added Colors,2019-02-13 19:19:35 +0200,
8b1e790,Abdullrahman ElHayek,fix bubble,2019-02-13 09:52:45 +0200,
3b23779,Morad Taleeb,minor style fixes,2019-02-12 22:55:45 +0200,
6ba0a3d,Morad Taleeb,fixed dataset edit layout and style for small screens,2019-02-12 22:33:27 +0200,
6d35366,Morad Taleeb,Dataset: isplaying files and topics,2019-02-11 22:59:47 +0200,
8139934,Morad Taleeb,Dataset actions: added real library selctors,2019-02-11 22:31:05 +0200,
90e725e,Morad Taleeb,implemented fullscreen for dataset view,2019-02-11 22:02:48 +0200,
9fb42fe,Morad Taleeb,Dataset form: tabs toggle,2019-02-11 21:21:09 +0200,
e7d90db,Morad Taleeb,Dataset view: styling,2019-02-10 22:31:09 +0200,
6e299ed,Morad Taleeb,Dataset form: fixed style of general tab / topics selector,2019-02-10 22:10:44 +0200,
8df4ceb,Morad Taleeb,dataset show: styled actions bar,2019-02-10 22:06:08 +0200,
b573864,Morad Taleeb,Dataset show layout for non-admin users,2019-02-10 21:32:33 +0200,
c358da9,Abdullrahman ElHayek,file - topics mapping,2019-02-10 17:51:19 +0200,
8f464f0,Abdullrahman ElHayek,file - topics mapping,2019-02-10 17:24:12 +0200,
1b17c63,Abdullrahman ElHayek,file - topics mapping,2019-02-10 10:40:41 +0200,
271ff33,Morad Taleeb,datasets general layout for non-admins,2019-02-09 20:17:15 +0200,
0fa4caa,Morad Taleeb,dataset form: fixed rtl styles,2019-02-09 19:34:40 +0200,
e3232c2,Morad Taleeb,fixed info tab - datasets form,2019-02-09 18:57:50 +0200,
f875b7c,Morad Taleeb,fixed multiselect position issue,2019-02-09 18:40:46 +0200,
01a3ad8,Morad Taleeb,Header style minor fixes,2019-02-09 16:03:02 +0200,
65adb75,Morad Taleeb,Styled save/delete dataset tab,2019-02-09 15:59:16 +0200,
21133b5,Morad Taleeb,highchart options layout,2019-02-09 13:01:12 +0200,
c369905,Morad Taleeb,tableau and iframe  options layout,2019-02-09 12:59:26 +0200,
8f0b97e,Morad Taleeb,plotly options layout,2019-02-09 12:55:26 +0200,
7eaae2a,Morad Taleeb,chartjs options layout,2019-02-09 12:49:02 +0200,
5940b42,Morad Taleeb,dataset form: fixed file selector style,2019-02-09 12:27:58 +0200,
808eeb1,Morad Taleeb,datasets styled tabs content,2019-02-09 12:16:41 +0200,
118b0fd,Morad Taleeb,added missing comma,2019-02-09 11:21:43 +0200,
929f596,Morad Taleeb,datasets tabs styling,2019-02-08 23:29:44 +0200,
e1053b2,Morad Taleeb,Implemented dataset visual tabs,2019-02-08 22:55:59 +0200,
2ac09c0,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-02-08 21:31:50 +0200,
a1da89a,Morad Taleeb,dataset edit html layout,2019-02-08 21:31:46 +0200,
cc94270,Abdullrahman ElHayek,Update file controllers 1- fixed JSON types 2- Dimention selection is bound by new changes,2019-02-07 20:56:01 +0200,
e637d9e,Morad Taleeb,styled dataset actions,2019-02-06 22:55:55 +0200,
d2373e9,Morad Taleeb,added loading indicator,2019-02-06 21:13:21 +0200,
2.21E+05,Abdullrahman ElHayek,more cleaning for numbers,2019-02-06 12:55:25 +0200,
a389ffb,Abdullrahman ElHayek,more cleaning for numbers,2019-02-06 12:44:44 +0200,
d9472b8,Morad Taleeb,loading indicator - still in progress,2019-02-05 22:52:39 +0200,
e37a0f6,Morad Taleeb,fixed datasets pagination,2019-02-05 21:59:47 +0200,
c14f85a,Morad Taleeb,Added back files search and create forms,2019-02-05 21:26:22 +0200,
8ae7ead,Abdullrahman ElHayek,more cleaning for numbers,2019-02-05 16:08:41 +0200,
1a6f467,Morad Taleeb,cleaned build,2019-02-04 23:30:03 +0200,
f0ece59,Morad Taleeb,Added vue-moment for dates formating,2019-02-04 23:10:43 +0200,
703564,Morad Taleeb,Customized datatable - added links to datasets/records,2019-02-04 22:34:50 +0200,
292d4cf,Morad Taleeb,Datasets: fixed grid/list switch,2019-02-04 21:40:41 +0200,
9118f1e,Morad Taleeb,cleaning unneeded code,2019-02-04 21:15:18 +0200,
14ca29b,Morad Taleeb,integrated datatable for datasets,2019-02-04 21:12:59 +0200,
d7fd752,Abdullrahman ElHayek,more cleaning for numbers,2019-02-04 18:25:16 +0200,
2693383,Abdullrahman ElHayek,Fix first Loading Bug,2019-02-04 17:28:41 +0200,
c093f41,Morad Taleeb,Translated datasets and files pages and layouts,2019-02-03 23:39:47 +0200,
48f4551,Morad Taleeb,fixed conflict,2019-02-03 22:22:36 +0200,
d2ab838,Morad Taleeb,Working on datasets datatable view,2019-02-03 22:09:24 +0200,
0fa6d1d,Abdullrahman ElHayek,Update chartJS reactivity to the data model,2019-02-03 21:16:13 +0200,
2111d48,Abdullrahman ElHayek,Update Backend controllers,2019-02-03 20:59:58 +0200,
1288f25,Abdullrahman ElHayek,Update backend code,2019-02-03 20:45:12 +0200,
54a7cb0,Abdullrahman ElHayek,This commit :,2019-02-03 19:56:00 +0200,
bc5979c,Morad Taleeb,Integrating data-table - tbc,2019-02-03 00:22:18 +0200,
98d5514,Morad Taleeb,Files grid minor fixes,2019-02-02 19:46:38 +0200,
5342264,Morad Taleeb,translated datasets/files cards,2019-02-02 19:39:05 +0200,
354c82b,Morad Taleeb,Files grid layout,2019-02-02 19:25:18 +0200,
3cdab31,Morad Taleeb,Installed vuejs-datatable componenet,2019-02-01 23:26:21 +0200,
7248d9b,Morad Taleeb,Styled dashboard quick-links,2019-02-01 23:15:49 +0200,
cb92c7a,Morad Taleeb,Translated reset password,2019-02-01 22:58:04 +0200,
c99a351,Morad Taleeb,Translated auth validation and styled errors,2019-02-01 22:48:21 +0200,
ef64652,Morad Taleeb,Dataset - trying to show charts on grid view,2019-01-30 23:32:09 +0200,
a931c2b,Morad Taleeb,Added links to datasets list view,2019-01-30 22:35:16 +0200,
4d853ce,Morad Taleeb,Grid/List view switcher for datasets,2019-01-30 22:22:31 +0200,
7b1d906,Morad Taleeb,Created list/table view for datasets,2019-01-30 21:52:26 +0200,
8ff83ea,Morad Taleeb,Cross browsers fixes,2019-01-29 23:21:58 +0200,
c21813a,Morad Taleeb,Integrated charts and graphs into datasets grid cards,2019-01-29 22:53:17 +0200,
e4db856,Morad Taleeb,Dataset card head and meta style - mobile fix,2019-01-29 21:56:02 +0200,
5eef063,Morad Taleeb,Dataset card head and meta style,2019-01-29 21:43:20 +0200,
84659d5,Morad Taleeb,Fixed Safari flex issue,2019-01-28 23:54:25 +0200,
7afb512,Morad Taleeb,Removed --> from html,2019-01-28 23:50:43 +0200,
b3f384b,Morad Taleeb,Datasets grid style - desktop/mobile,2019-01-28 23:46:56 +0200,
4ba8612,Morad Taleeb,Styled pagination,2019-01-27 23:22:39 +0200,
885bbca,Morad Taleeb,Fixed account dropdown style desktop/mobile,2019-01-27 22:53:19 +0200,
10aeb57,Morad Taleeb,Datasets view toggles style,2019-01-27 22:08:42 +0200,
fca1d0f,Morad Taleeb,Datasets filters styling - mobile,2019-01-27 21:49:11 +0200,
3da6f10,Morad Taleeb,Datasets filters styling - tablet,2019-01-27 21:30:16 +0200,
cecb5d3,Morad Taleeb,Datasets filters styling,2019-01-27 21:17:39 +0200,
d859452,Morad Taleeb,Search datasets on keyup,2019-02-01 22:58:04 +0200,
6e382ac,Morad Taleeb,Datasets index styling,2019-01-26 23:10:14 +0200,
7a3e120,Morad Taleeb,Datasets page layout structure,2019-01-26 22:17:22 +0200,
32e9115,Morad Taleeb,files new page with admin layout,2019-01-26 17:51:22 +0200,
67e80e9,Morad Taleeb,added plugins to admin layout,2019-01-26 16:56:52 +0200,
ad5a057,Morad Taleeb,datasets new page fixes,2019-01-26 16:48:36 +0200,
1707831,Morad Taleeb,added label for accept terms checkbox,2019-01-25 19:15:51 +0200,
2aef4f4,Morad Taleeb,Auth pages styling in details,2019-01-25 19:01:26 +0200,
212ce86,Morad Taleeb,Added logo,2019-01-25 18:12:21 +0200,
49c00c9,Morad Taleeb,Registration page layout - fixed,2019-01-23 23:43:00 +0200,
f63b577,Morad Taleeb,Registration page layout - TBC,2019-01-23 22:57:44 +0200,
6bfbf5f,Morad Taleeb,Auth pages translation,2019-01-22 23:24:10 +0200,
8338f4d,Morad Taleeb,Auth RTL Fixes,2019-01-22 22:58:28 +0200,
a4a62b2,Morad Taleeb,Narrower auth cards/boxes,2019-01-22 22:53:47 +0200,
7e2151a,Morad Taleeb,Fixed new password page style,2019-01-22 22:38:05 +0200,
1bf4951,Morad Taleeb,Fixed reset password page style,2019-01-22 22:30:28 +0200,
be50e6e,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-01-22 22:02:55 +0200,
d636a3a,Morad Taleeb,Styled login page,2019-01-22 22:01:33 +0200,
