Commit_ID,Commit_Developer,,Commit_Date,Day
8d4116e,Abdullrahman ElHayek,fix download for public user,2019-04-17 14:42:38 +0300,
4dc99be,Abdullrahman ElHayek,creating and testing mutual relation for datasets backend logic fix for new dataset 4,2019-04-17 01:29:13 +0300,
526ca46,Abdullrahman ElHayek,creating and testing mutual relation for datasets backend logic fix for new dataset 3,2019-04-17 01:08:03 +0300,
38689a2,Abdullrahman ElHayek,creating and testing mutual relation for datasets backend logic fix for new dataset 2,2019-04-17 00:37:44 +0300,
8636d22,Abdullrahman ElHayek,creating and testing mutual relation for datasets backend logic fix for new dataset,2019-04-17 00:28:31 +0300,
9f926f9,Abdullrahman ElHayek,creating and testing mutual relation for datasets backend logic,2019-04-17 00:14:10 +0300,
2120c01,Abdullrahman ElHayek,add related id for datasets backend logic and front end input,2019-04-16 23:57:36 +0300,
92e90ed,Abdullrahman ElHayek,remove zoom and subtitle from the dashboard,2019-04-16 21:01:57 +0300,
f95b528,Morad Taleeb,Library: added description to chart view,2019-04-16 19:38:23 +0300,
e1cc74c,Morad Taleeb,Library: added title to chart,2019-04-16 19:31:40 +0300,
0da1935,Morad Taleeb,export csv on chart page,2019-04-16 19:09:59 +0300,
36a3f5e,Morad Taleeb,added more export options,2019-04-16 18:50:47 +0300,
e9974a1,Abdullrahman ElHayek,fix captalized text for library/dataset/files,2019-04-16 12:23:55 +0300,
ee0f31e,Abdullrahman ElHayek,fix post of zero for karm to add new posts,2019-04-15 18:41:28 +0300,
d0c103c,Abdullrahman ElHayek,fix disappearing topics  in the files,2019-04-15 17:43:48 +0300,
6d13bb2,Abdullrahman ElHayek,backend logic for dataset to mirror dataset with different language phase 1,2019-04-15 17:27:18 +0300,
163617a,Karam Hijazi,you can see the image when editing a post,4/15/2019 9:22,
6b06e96,Abdullrahman ElHayek,fix user rest password from control panel,2019-04-15 15:47:17 +0300,
4e4323b,Abdullrahman ElHayek,send all public POSTs to /posts/0/edit so that all related_id return back as well,2019-04-15 13:23:21 +0300,
7916a75,Abdullrahman ElHayek,fix number 2 Edit POST does not show the selected related_it name in the list,2019-04-15 12:59:25 +0300,
dac34f2,abdullrahman yusuf elhayek,Merge pull request #9 from knafeh/topicsPage,2019-04-15 10:59:54 +0300,
f3cf8d7,Karam Hijazi,added related id,4/14/2019 21:01,
5d71c91,Morad Taleeb,style fixes for library cards,2019-04-14 23:21:59 +0300,
cce90d8,Morad Taleeb,Request form/page fixes,2019-04-14 22:55:34 +0300,
1eb4c51,Karam Hijazi,added stories into posts,4/14/2019 11:58,
c32eb90,Abdullrahman ElHayek,ChartJs and HighChart acceptance for year format '2007/2008',2019-04-14 15:34:44 +0300,
8078176,Abdullrahman ElHayek,fix decimals loading,2019-04-12 15:15:33 +0300,
a71ff85,Abdullrahman ElHayek,fix arabic names for datasets,2019-04-11 17:37:57 +0300,
7b6037d,Abdullrahman ElHayek,fix if topic has no match,2019-04-10 17:01:57 +0300,
40606c4,Abdullrahman ElHayek,fixing topics bug for index,2019-04-10 16:40:10 +0300,
039e396,Abdullrahman ElHayek,fixing topics route from the back and front ends,2019-04-10 16:32:44 +0300,
1e5d086,Abdullrahman ElHayek,fixing Laravel to library route,2019-04-10 15:38:33 +0300,
e39b0d0,Abdullrahman ElHayek,Home page making icons clickable,2019-04-10 15:25:24 +0300,
1fcf415,Abdullrahman ElHayek,change ylabel to value,2019-04-10 12:57:55 +0300,
caebffb,Abdullrahman ElHayek,modify read me,2019-04-09 18:12:23 +0300,
454d7b1,Abdullrahman ElHayek,fix clear years,2019-04-09 18:06:18 +0300,
d2d7b07,Abdullrahman ElHayek,fix chart type list,2019-04-09 15:02:50 +0300,
43b84fb,Abdullrahman ElHayek,Merge remote-tracking branch 'origin/master',2019-04-08 17:24:34 +0300,
1d49949,Abdullrahman ElHayek,show placeholder at ais-input,2019-04-08 17:23:22 +0300,
faf20f4,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-04-08 16:59:12 +0300,
d0ea44b,Morad Taleeb,made space between library search and grid view,2019-04-08 16:54:39 +0300,
8f2165a,Abdullrahman ElHayek,fix year clear when change file,2019-04-08 16:48:23 +0300,
ad483eb,Morad Taleeb,library: actions rearrangments,2019-04-08 16:35:31 +0300,
fee74b2,Morad Taleeb,replaced export button text with icon and moved it to the right icons,2019-04-08 16:34:10 +0300,
47e7a10,Morad Taleeb,fixed admin menu links color on scrolling,2019-04-08 16:26:41 +0300,
556aa90,Morad Taleeb,export feature,2019-04-08 16:04:48 +0300,
ac54f9a,Abdullrahman ElHayek,add filter by year to plotly,2019-04-08 15:20:50 +0300,
28abdc7,Abdullrahman ElHayek,Merge remote-tracking branch 'origin/master',2019-04-08 14:36:22 +0300,
6c8512b,Abdullrahman ElHayek,layout the main paratmeter for plotly year filter,2019-04-08 14:36:08 +0300,
39bb5f1,Morad Taleeb,Library: fixed chart type selection,2019-04-08 13:40:34 +0300,
a1ad1b6,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-04-08 13:22:54 +0300,
52d0563,Morad Taleeb,fixed chart option select style,2019-04-08 13:22:48 +0300,
a893b86,Abdullrahman ElHayek,remove periods from the menu,2019-04-08 11:58:41 +0300,
b8fa189,Abdullrahman ElHayek,disbaling un-nessary tabs in the dataset disabled Periods / Governorates,2019-04-08 11:55:27 +0300,
6f4a5d1,Abdullrahman ElHayek,fix Faq page (translate question 13 - ,2019-04-08 11:42:29 +0300,
5b245b2,Abdullrahman ElHayek,In dataset show: To add if statements,2019-04-08 11:05:25 +0300,
3f5af2f,Abdullrahman ElHayek,Not to show search on topic with no datasets!,2019-04-08 11:00:25 +0300,
acba67f,Abdullrahman ElHayek,Merge remote-tracking branch 'origin/master',2019-04-08 10:31:17 +0300,
490d253,Abdullrahman ElHayek,remove indicators from menu and reorder the menue with files on top of datasets,2019-04-08 10:31:04 +0300,
605757,Morad Taleeb,fixed plotly option selections styling,2019-04-07 17:29:46 +0300,
3dd3172,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-04-07 17:23:14 +0300,
d65fc74,Morad Taleeb,Library chart: fixed options styling,2019-04-07 17:23:05 +0300,
d90ab5c,Abdullrahman ElHayek,Merge remote-tracking branch 'origin/master',2019-04-07 16:40:57 +0300,
1b20f3f,Abdullrahman ElHayek,remove public options duplications,2019-04-07 16:40:20 +0300,
0fbdf25,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-04-07 16:27:29 +0300,
d77d882,Morad Taleeb,added description to library grid,2019-04-07 16:27:20 +0300,
bfd5a62,Abdullrahman ElHayek,Merge remote-tracking branch 'origin/master',2019-04-07 16:16:08 +0300,
9469885,Abdullrahman ElHayek,fix treeselect style,2019-04-07 16:15:27 +0300,
26cc5ae,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-04-07 15:36:16 +0300,
629deca,Morad Taleeb,added real text to footer about section,2019-04-07 15:36:08 +0300,
47e52fd,Abdullrahman ElHayek,Merge remote-tracking branch 'origin/master',2019-04-07 15:25:53 +0300,
36acf2b,Abdullrahman ElHayek,fix form name for library topic submission,2019-04-07 15:21:32 +0300,
649e9f9,Morad Taleeb,removed language icon,2019-04-07 15:06:43 +0300,
7da1990,Morad Taleeb,resized main-search,2019-04-07 15:05:18 +0300,
3472908,Morad Taleeb,FAQ fixed question numbers | AR,2019-04-07 15:00:47 +0300,
1d0640b,Morad Taleeb,FAQ fixed question numbers,2019-04-07 14:47:39 +0300,
855ef40,Morad Taleeb,Library: added label to chart type selection,2019-04-07 14:30:26 +0300,
a637a99,Morad Taleeb,fixed library grid in topic details page,2019-04-07 14:16:33 +0300,
db3bf97,Morad Taleeb,replaced topic link with library,2019-04-07 13:59:30 +0300,
c4b47e1,Morad Taleeb,styled library options select,2019-04-07 12:18:04 +0300,
975bb06,Morad Taleeb,moved library options to top of charts / added inside library actions,2019-04-07 10:09:46 +0300,
100813d,Morad Taleeb,removed library filters ecept topics,2019-04-07 09:32:31 +0300,
e8639e4,Karam Hijazi,switched indicator into topics,4/4/2019 22:36,
617d866,Karam Hijazi,removed truncate and added topics into posts,4/4/2019 22:34,
3763ce5,Abdullrahman ElHayek,fix form name for library topic submission,2019-04-04 17:23:18 +0300,
1ee0ef8,Abdullrahman ElHayek,change the title topics to library,2019-04-04 17:16:03 +0300,
a0930cc,Abdullrahman ElHayek,fix link for datasets from library and library/topics,2019-04-04 17:09:32 +0300,
a3f0668,Abdullrahman ElHayek,remove region from legend .. Note that region has become a keyword,2019-04-04 14:29:13 +0300,
98e0caa,Abdullrahman ElHayek,fix options public view,2019-04-04 13:50:05 +0300,
5b732bb,Abdullrahman ElHayek,This fix is for HighChart,2019-04-04 13:00:15 +0300,
d6aebe1,Abdullrahman ElHayek,fix HighChart Legend,2019-04-04 12:50:47 +0300,
aaf1c80,Abdullrahman ElHayek,fix HighChart scale,2019-04-04 11:57:42 +0300,
bdd7860,Abdullrahman ElHayek,fix image preview,2019-04-04 11:38:34 +0300,
4b87992,Abdullrahman ElHayek,add return button to library fix grid styling for library selection by topics,2019-04-04 11:32:31 +0300,
80bc202,Karam Hijazi,Merge pull request #8 from knafeh/truncate-description,4/3/2019 9:00,
2466b87,Karam Hijazi,merge conflicts,4/3/2019 9:00,
75aa71c,Abdullrahman ElHayek,fix route through library and add search in datasets name for each topic,2019-04-03 15:25:18 +0300,
5d6087f,Abdullrahman ElHayek,year selection for HighChart,2019-04-03 14:59:54 +0300,
ca59b6d,Abdullrahman ElHayek,year selection for horiztal graph,2019-04-03 14:49:13 +0300,
8b05dc8,Abdullrahman ElHayek,year selection for bar graph,2019-04-03 14:45:50 +0300,
9f6d028,Abdullrahman ElHayek,Merge remote-tracking branch 'origin/master',2019-04-03 14:38:54 +0300,
8829a7e,Abdullrahman ElHayek,year selection for line graph,2019-04-03 14:37:39 +0300,
91ded60,Morad Taleeb,removed datasets list from library show page,2019-04-03 12:54:50 +0300,
7236285,Morad Taleeb,changed landing topic links to link to topic pages + removed show datasets link from topics grid,2019-04-03 12:45:37 +0300,
9372b4b,Morad Taleeb,removed topics link from header menu,2019-04-03 12:17:48 +0300,
248c4aa,Abdullrahman ElHayek,show all topics in the Website home page and removing indicators section from it,2019-04-01 17:53:52 +0300,
ccc6caf,Abdullrahman ElHayek,fix image on library,2019-04-01 15:10:06 +0300,
ed93582,Abdullrahman ElHayek,call library directly from home page,2019-04-01 14:55:46 +0300,
d116dfe,Abdullrahman ElHayek,fix regexpress pattern,2019-04-01 11:18:18 +0300,
21d6c25,Abdullrahman ElHayek,fix age_group for vizabi,2019-03-31 15:20:09 +0300,
2c85013,Abdullrahman ElHayek,debug server call to options with 800 ms time thurshold bars in chartjs,2019-03-31 11:03:00 +0300,
71938a1,Abdullrahman ElHayek,debug server call to options with 800 ms time thurshold,2019-03-30 22:58:54 +0300,
702ac8e,Abdullrahman ElHayek,debug server call to options with recursive call,2019-03-30 21:11:47 +0300,
42b0929,Abdullrahman ElHayek,debug server call to options,2019-03-30 17:49:02 +0300,
c67de74,Abdullrahman ElHayek,fix record update string and numbers,2019-03-28 13:23:42 +0200,
5365650,Abdullrahman ElHayek,fix map viz for library (test),2019-03-28 12:55:42 +0200,
911e370,Abdullrahman ElHayek,fix topic datasets visulization,2019-03-28 12:24:11 +0200,
8d01777,Abdullrahman ElHayek,fix topic datasets styling,2019-03-28 12:08:21 +0200,
b9fe124,Abdullrahman ElHayek,refix vizabi after morad fix of library style,2019-03-28 01:03:54 +0200,
8d9a1bb,Abdullrahman ElHayek,fix preview images on topics,2019-03-27 23:40:22 +0200,
816673b,Morad Taleeb,added page covers,2019-03-27 23:01:32 +0300,
e883a20,Morad Taleeb,Library: Arabic Style Fixes,2019-03-27 22:46:17 +0300,
ece4388,Morad Taleeb,Library index and single pages styled,2019-03-27 22:38:05 +0300,
20b0934,Morad Taleeb,Request Page: Arabic translation,2019-03-27 20:53:45 +0300,
8679f71,Morad Taleeb,Request Page: english translation,2019-03-27 20:42:44 +0300,
4114a55,Karam Hijazi,added tooltips,3/27/2019 12:58,
6bfd85b,Morad Taleeb,Topics: specific topic page layout and style,2019-03-27 19:56:35 +0300,
ff72da7,Morad Taleeb,topics: more fixes,2019-03-27 19:32:37 +0300,
dc9dd56,Morad Taleeb,Topics: style fix,2019-03-27 18:26:07 +0300,
e48c4be,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-03-27 18:19:38 +0300,
1554df1,Morad Taleeb,Topics: styled new icons,2019-03-27 18:19:26 +0300,
7927cb2,Abdullrahman ElHayek,change about text,2019-03-27 16:46:59 +0200,
2db8de8,Abdullrahman ElHayek,fix icon upload,2019-03-27 15:42:03 +0200,
6dd201c,abdullrahman yusuf elhayek,Merge pull request #7 from knafeh/governotes,2019-03-27 15:31:23 +0200,
c20f4f2,Monzer Hijazi,merged all changes,3/27/2019 9:19,
5c49ca6,Monzer Hijazi,indicators working version,3/27/2019 9:14,
734aa70,Abdullrahman ElHayek,fix header of topics,2019-03-27 13:43:13 +0200,
e73d5e8,Abdullrahman ElHayek,fix layout edit,2019-03-27 11:38:01 +0200,
0d696fd,Abdullrahman ElHayek,commentin menues,2019-03-27 11:21:22 +0200,
0e0f0f7,Abdullrahman ElHayek,use js-md5 for arabic,2019-03-27 03:59:52 +0200,
7794fbf,Karam Hijazi,fix some styling,3/26/2019 21:46,
68d8609,Karam Hijazi,fixing small ui issues,3/26/2019 20:57,
c937db2,Abdullrahman ElHayek,fix throttle problem for plotly bubble,2019-03-27 02:54:12 +0200,
e205b92,Abdullrahman ElHayek,fix throttle problem for plotly map,2019-03-27 02:49:39 +0200,
3dc4cb6,Abdullrahman ElHayek,fix throttle problem for highchart,2019-03-27 02:32:28 +0200,
320c686,Abdullrahman ElHayek,fix throttle problem for chartjs,2019-03-27 02:24:16 +0200,
be2ec49,Abdullrahman ElHayek,horizontal-bar-chart tested,2019-03-27 01:55:43 +0200,
1699dc7,Abdullrahman ElHayek,tested bar chart,2019-03-27 01:50:17 +0200,
0139a1f,Abdullrahman ElHayek,tested,2019-03-27 01:40:12 +0200,
e070a40,Abdullrahman ElHayek,revert fix library repeated call,2019-03-26 21:56:31 +0200,
dd8f037,Abdullrahman ElHayek,fix library repeated call,2019-03-26 21:36:46 +0200,
e8bf3ed,Abdullrahman ElHayek,fix load dims for the first time,2019-03-26 21:20:51 +0200,
6d099e2,Abdullrahman ElHayek,fix load dims for the first time,2019-03-26 20:37:51 +0200,
be0e150,Abdullrahman ElHayek,final fix,2019-03-26 20:28:33 +0200,
edba610,Abdullrahman ElHayek,test sole call to the database,2019-03-26 20:03:11 +0200,
45ab0cb,Abdullrahman ElHayek,test sole call to the database,2019-03-26 19:07:55 +0200,
3538dd3,Monzer Hijazi,reverting user admin css,3/26/2019 5:24,
dc521e6,Monzer Hijazi,governorates getting data from controller,3/26/2019 5:19,
23f45b4,Morad Taleeb,Request page: removed video for now,2019-03-26 10:16:22 +0300,
543623d,Morad Taleeb,Request and suggest: styled form labels and radios,2019-03-26 10:01:41 +0300,
778befa,Morad Taleeb,Request and suggest: styled form,2019-03-26 09:46:32 +0300,
4ddabac,Morad Taleeb,Request and Suggest page layout,2019-03-26 09:14:34 +0300,
298f498,Karam Hijazi,ui for the governotes page,3/25/2019 23:46,
1.59E+13,Abdullrahman ElHayek,fix vizabi styling,2019-03-25 15:51:56 +0200,
7b5416e,Abdullrahman ElHayek,fix min max date,2019-03-25 13:54:02 +0200,
729f9be,Abdullrahman ElHayek,change message form,2019-03-25 13:44:35 +0200,
64d48fc,Abdullrahman ElHayek,fix messages mutation,2019-03-25 11:34:40 +0200,
b79a46e,Morad Taleeb,Contact page layout,2019-03-24 23:56:44 +0300,
5b69d88,Morad Taleeb,FAQ Page Layout and Style,2019-03-24 23:50:55 +0300,
981acd9,Morad Taleeb,Topics page style and layout,2019-03-24 22:21:56 +0300,
7f314f8,Morad Taleeb,About Page Layout and Style,2019-03-24 21:15:54 +0300,
b5979d3,Morad Taleeb,page covers style,2019-03-24 20:57:25 +0300,
2d8cbca,Abdullrahman ElHayek,fix saving json locations,2019-03-24 19:00:54 +0200,
972a60d,Abdullrahman ElHayek,fix message style,2019-03-24 16:15:52 +0200,
27ceb82,Abdullrahman ElHayek,add message location data,2019-03-24 15:10:29 +0200,
e2414ac,Abdullrahman ElHayek,reply to message via email,2019-03-24 14:37:39 +0200,
e69dc1b,Abdullrahman ElHayek,send thank message for contacting indicators.ps,2019-03-24 13:58:54 +0200,
f018e28,Abdullrahman ElHayek,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-03-24 13:07:20 +0200,
52c49ba,Abdullrahman ElHayek,fix save messages,2019-03-24 13:06:05 +0200,
36d1013,Morad Taleeb,Landing: Fixed indicators filtering switch,2019-03-24 00:16:05 +0300,
81aecda,Abdullrahman ElHayek,edit for message update backend logic,2019-03-23 16:37:24 +0200,
3e46d5c,Abdullrahman ElHayek,fix local changes,2019-03-23 14:09:24 +0200,
f8eae60,Abdullrahman ElHayek,fix local changes,2019-03-23 14:07:47 +0200,
42ff30b,Abdullrahman ElHayek,Merge remote-tracking branch 'origin/master',2019-03-23 12:46:57 +0200,
174815f,Abdullrahman ElHayek,fix message controller,2019-03-23 12:46:40 +0200,
9de6b60,abdullrahman yusuf elhayek,Merge pull request #6 from knafeh/userSettingsPage,2019-03-23 12:44:01 +0200,
b5ef08b,Monzer Hijazi,no message,3/23/2019 6:40,
564e3da,Monzer Hijazi,fixing settings properties,3/23/2019 6:34,
6ec3258,Abdullrahman ElHayek,add messages control to the control panel admin level,2019-03-23 12:33:46 +0200,
e21c6d7,Monzer Hijazi,adding language support,3/23/2019 6:22,
2b8f80d,Abdullrahman ElHayek,Merge remote-tracking branch 'origin/master',2019-03-23 12:08:39 +0200,
a925150,Abdullrahman ElHayek,common for messages,2019-03-23 12:08:25 +0200,
18ab23c,Morad Taleeb,merging,2019-03-23 13:05:02 +0300,
33c879a,Morad Taleeb,Datasets: rearranged displaying legend options,2019-03-23 13:03:57 +0300,
fb228a3,Abdullrahman ElHayek,add messages for the message form,2019-03-23 12:00:44 +0200,
9ebcbb3,Abdullrahman ElHayek,Merge remote-tracking branch 'origin/master',2019-03-23 11:27:56 +0200,
f1397ac,Abdullrahman ElHayek,"fix Message store for public user create table if not exists messages ( 	id int unsigned auto_increment 		primary key",2019-03-23 11:27:10 +0200,
2151fd5,Morad Taleeb,Files: Added file id to title,2019-03-23 11:50:16 +0300,
87a13a6,Morad Taleeb,Datasets: merged library and options tabs,2019-03-23 11:11:13 +0300,
419cd95,Monzer Hijazi,fixed settings API,3/22/2019 15:55,
28810fe,Abdullrahman ElHayek,fix style of new pages,2019-03-22 19:18:44 +0200,
2423379,Karam Hijazi,connected ui to php,3/22/2019 8:29,
cfd1386,Abdullrahman ElHayek,contact us page,2019-03-21 15:59:05 +0200,
aa48470,Abdullrahman ElHayek,frequently asked questions,2019-03-21 15:50:37 +0200,
e56f77d,Abdullrahman ElHayek,faq page,2019-03-21 14:55:01 +0200,
8a1bed1,Abdullrahman ElHayek,Merge remote-tracking branch 'origin/master',2019-03-21 14:50:32 +0200,
65cacbf,Abdullrahman ElHayek,fix about us arabic and English,2019-03-21 14:50:06 +0200,
d1e04b3,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-03-21 14:47:25 +0200,
e5acd5e,Morad Taleeb,Library: fixed showing chzrts with a min-height: 400px,2019-03-21 14:46:33 +0200,
e39440a,Abdullrahman ElHayek,set default for fdimload,2019-03-21 14:10:21 +0200,
b7b5a7e,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-03-21 13:59:37 +0200,
7b3ceaf,Morad Taleeb,fixed library filters in show page,2019-03-21 13:55:21 +0200,
f1616d7,Abdullrahman ElHayek,remove wait,2019-03-21 13:45:47 +0200,
d04cb8e,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-03-21 13:41:04 +0200,
c86738d,Morad Taleeb,merging,2019-03-21 13:40:38 +0200,
e50a2f5,Abdullrahman ElHayek,clear options before load,2019-03-21 13:39:30 +0200,
821215f,Morad Taleeb,removed scroll from library chart/show,2019-03-21 13:37:38 +0200,
d06e9e0,Abdullrahman ElHayek,inccrease stall time to 4 second,2019-03-21 13:27:35 +0200,
56dfd95,Abdullrahman ElHayek,test library load,2019-03-21 12:49:13 +0200,
2f2ced7,Abdullrahman ElHayek,fix file redirection after saving,2019-03-20 17:04:06 +0200,
b10e97e,Abdullrahman ElHayek,vizabi code,2019-03-20 16:46:43 +0200,
136b6f5,Abdullrahman ElHayek,vizabi,2019-03-20 16:46:29 +0200,
50fc91c,Morad Taleeb,fixed vizabi chart view,2019-03-20 11:41:16 +0200,
b7c00fa,Morad Taleeb,fixed vizabi height - tbc,2019-03-20 10:34:19 +0200,
529d135,Morad Taleeb,commented unneeded elements,2019-03-20 10:27:51 +0200,
b273481,Morad Taleeb,commented unneeded elements,2019-03-20 10:21:31 +0200,
815c428,Morad Taleeb,indicators all translation,2019-03-20 10:09:21 +0200,
2b7a6e8,Morad Taleeb,added all to indicators filters,2019-03-20 10:06:11 +0200,
38defc6,abdullrahman yusuf elhayek,Merge pull request #5 from knafeh/cssFixes,2019-03-20 01:52:47 +0200,
6b4d5d5,Karam Hijazi,fixed some styling issues when changing into arabic,3/19/2019 11:16,
3510bf4,Karam Hijazi,fixed some styling issues when changing into arabic,3/19/2019 11:15,
778cae8,Abdullrahman ElHayek,fix chart saving,2019-03-19 16:49:16 +0200,
df27ec8,Abdullrahman ElHayek,fix load data tree in other libraries,2019-03-19 16:27:20 +0200,
31eec4f,Abdullrahman ElHayek,fix search feature by algolia,2019-03-19 15:52:01 +0200,
d176d9a,Abdullrahman ElHayek,fix search by algolia limiting it to the public,2019-03-19 12:59:08 +0200,
a37a232,Abdullrahman ElHayek,color by fix for plotly,2019-03-19 12:16:13 +0200,
b54c807,Abdullrahman ElHayek,fix plotly messages,2019-03-19 12:11:58 +0200,
1a1774b,Abdullrahman ElHayek,fix chartjs cross library messages,2019-03-19 11:37:11 +0200,
1b4bf10,Karam Hijazi,settings ui,3/18/2019 19:27,
3ed6c06,Morad Taleeb,fixed datasets filters form,2019-03-18 23:25:40 +0200,
36c25f4,Morad Taleeb,landing indicators: Arabic style fixes,2019-03-18 23:07:58 +0200,
f7eab26,Morad Taleeb,no options for vizabi message + added visibility tab at end,2019-03-18 23:02:25 +0200,
0cab669,Morad Taleeb,fixed header icons styling + arabic dropdown icon style,2019-03-18 22:51:13 +0200,
30887d2,Morad Taleeb,landing indicators: styled filtering and search,2019-03-18 22:31:08 +0200,
6179415,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-03-18 22:13:20 +0200,
4ba16df,Morad Taleeb,Landing indicators: added filters and search,2019-03-18 22:13:08 +0200,
ae8e617,Abdullrahman ElHayek,fix styling of datasets,2019-03-18 20:50:44 +0200,
a63778d,monzerhijazi,Merge pull request #4 from knafeh/userEditPage,3/18/2019 13:53,
07c6378,Monzer Hijazi,Merge commit 'c519782c7e483c463a0695e6c2680b265a03b52b' into userEditPage,3/18/2019 13:52,
c519782,Abdullrahman ElHayek,fix register new user,2019-03-18 14:21:25 +0200,
a37faa3,Abdullrahman ElHayek,remove tableau options,2019-03-18 09:57:45 +0200,
4.60E+04,Karam Hijazi,fixed conflicts with codebase,3/17/2019 19:09,
19dcab6,Karam Hijazi,merge code with master,3/17/2019 18:59,
aa90650,Morad Taleeb,on create dataset,2019-03-17 23:37:52 +0200,
ae6aa09,Morad Taleeb,minor fixes,2019-03-17 23:25:19 +0200,
e04ac68,Morad Taleeb,Files: form topics validation,2019-03-17 23:10:10 +0200,
867faa8,Karam Hijazi,checking for password,3/17/2019 15:29,
8da9b19,Karam Hijazi,merge code with master,3/17/2019 15:00,
33e615c,Karam Hijazi,changed the v-select into single,3/17/2019 14:30,
1c08b9f,Karam Hijazi,action buttons connected,3/17/2019 13:26,
27755f9,Abdullrahman ElHayek,change arabic to ï¿½ï¿½ï¿½ï¿½ï¿,2019-03-17 13:59:22 +0200,
7bd14a0,Abdullrahman ElHayek,fix,2019-03-17 13:39:07 +0200,
343b226,Abdullrahman ElHayek,fix language for file show and edit,2019-03-17 12:52:14 +0200,
1c46908,Abdullrahman ElHayek,fix language for user roles in user epic 2,2019-03-17 12:42:04 +0200,
a51543d,Abdullrahman ElHayek,fix language for user roles in user epic,2019-03-17 12:27:20 +0200,
2076a25,Karam Hijazi,Merge branch 'master' of https://github.com/knafeh/indicators-new into userEditPage,3/17/2019 1:20,
1644e7b,Karam Hijazi,Edit Profile UI,3/17/2019 1:20,
93a56e0,Abdullrahman ElHayek,fix the translation of database role names,2019-03-16 23:46:28 +0200,
80c1639,Abdullrahman ElHayek,fixing default value of all governorates Arabic and English,2019-03-16 23:17:06 +0200,
7aa0103,Abdullrahman ElHayek,filter language for datasets,2019-03-16 21:41:06 +0200,
bb7d2f2,Abdullrahman ElHayek,filter language for files,2019-03-16 21:28:20 +0200,
aa7e3cd,Abdullrahman ElHayek,fix topic name in sorting list,2019-03-16 20:43:21 +0200,
fd62ed0,Abdullrahman ElHayek,fix file upload checking,2019-03-16 20:33:59 +0200,
9c0e5b9,Morad Taleeb,Library: styling + trying on selected datasets,2019-03-16 19:26:25 +0200,
b655613,Morad Taleeb,Library: minor style fixeds,2019-03-16 18:26:44 +0200,
430fe1e,Morad Taleeb,Library: fixed mobile styling,2019-03-16 15:56:43 +0200,
c43e3bc,Morad Taleeb,Library: buttons arrangments and styling,2019-03-16 15:19:46 +0200,
b6cb18b,Morad Taleeb,Library: added libraries list,2019-03-16 14:50:20 +0200,
b7f9c91,Morad Taleeb,fixed conflicts,2019-03-16 14:08:01 +0200,
82038c9,Morad Taleeb,datasets tabs messages - tbc,2019-03-16 14:07:06 +0200,
836f02c,Abdullrahman ElHayek,Level the differences in App.js after my stash pull unstash push for changes (files messages),2019-03-16 12:28:23 +0200,
b128fc0,Abdullrahman ElHayek,fix file message,2019-03-16 10:40:08 +0200,
257f26d,Morad Taleeb,Library: Edit library dataset,2019-03-15 23:47:29 +0200,
56e52c5,Morad Taleeb,Library: export,2019-03-15 23:34:09 +0200,
976ecf3,Morad Taleeb,fixed new logo style in dashboard,2019-03-15 00:00:01 +0200,
539ce64,Morad Taleeb,Some translation fixes,2019-03-14 23:55:44 +0200,
41a5e7b,Morad Taleeb,General style fixes,2019-03-14 23:23:42 +0200,
4738794,Morad Taleeb,Landing: minor style fixes,2019-03-14 22:39:27 +0200,
1538057,Morad Taleeb,Landing: fixed header style for mobile,2019-03-14 22:25:34 +0200,
b5ff096,Morad Taleeb,Landing: header and search styling in details,2019-03-14 22:15:46 +0200,
9f26a62,Morad Taleeb,Created static about page,2019-03-13 23:41:36 +0200,
